source_type,beta,channel,mass_mean,mass_err,a_mean,a_err,chi2_dof,N_samples
Multi-Source,13,AV,0.29785510614236616,0.05806527073184715,-7.52187833144442e-07,3.663389089698398e-07,0.0025576747185602233,98
Multi-Source,13,PS,0.07338035150132045,0.000792308228442027,0.010348100877909036,0.0002763895274814908,0.011160299489337094,98
Multi-Source,13,S,8.032634823639065e-08,6.613807778635306e-07,0.0002736104180350439,0.0002115673730450248,0.041457067095831475,98
Multi-Source,13,Tt,0.37492368308996454,0.04864311257461264,-1.824398391060691e-07,1.2482086934095943e-07,0.3554963884012625,98
Multi-Source,13,Vec,0.2640852901219792,0.021620400062195618,-1.919068140287961e-06,3.4808967309251836e-07,0.01720920227495969,98
Multi-Source,13,Xt,0.4130626023056471,0.052916906237470494,7.417994793662697e-08,5.4573819138316816e-08,1.4493135506311587,98
Multi-Source,15,AV,0.3053956140124727,0.018127388333726995,-1.0072919373295398e-06,2.0620450165616575e-07,0.13863518518397985,99
Multi-Source,15,PS,0.07514686919801024,0.0009692062454345298,0.00800473527961368,0.00027487175183654375,0.010924075509932761,99
Multi-Source,15,S,0.2578407206260215,0.20217040480268958,-2.4835294123082767e-05,9.023778390378518e-05,0.022994488923358,99
Multi-Source,15,Tt,0.3681618931365326,0.039526681771640544,-2.270280198656515e-07,1.203458978471485e-07,0.7879670781771411,99
Multi-Source,15,Vec,0.2880826342955712,0.011723504994947252,-1.7233976784715444e-06,2.2268909215259109e-07,0.22652212419345855,99
Multi-Source,15,Xt,0.28240754741198265,0.04927527942670282,4.7142075310884283e-07,3.040537962582294e-07,0.6673163535401373,99
Multi-Source,17,AV,0.3100906385569098,0.014290868757929816,-1.0753721394391103e-06,1.6104657450943395e-07,0.04539372497478783,99
Multi-Source,17,PS,0.08355285310425795,0.0013779297548874928,0.005268053724974339,0.00021198003287256273,0.002102887304174994,99
Multi-Source,17,S,0.12700192522344567,0.028690187056069117,-0.000234527393946301,0.00015230137881752125,0.00916464503241098,99
Multi-Source,17,Tt,0.36843843305635093,0.05064295145431598,-2.0088889146782532e-07,1.369111726155559e-07,1.6386035381374588,99
Multi-Source,17,Vec,0.2931790163583727,0.011392381170556732,-1.4643085744199489e-06,1.715023976880858e-07,0.32312237110598013,99
Multi-Source,17,Xt,0.40900625965297277,0.045514363119400755,9.907759158047718e-08,6.245396598376874e-08,0.16401320622969048,99
Multi-Source,18,AV,0.29110153904125174,0.018002050000216006,-1.1525642764766896e-06,1.8249059688452208e-07,0.09839355728666638,100
Multi-Source,18,PS,0.08993040487970051,0.0017348765804715532,0.004451060129063088,0.00022902460536639604,0.006617352455477561,100
Multi-Source,18,S,0.09130826661377764,0.03043278876475379,0.00023566132324557377,0.00016004049097790215,0.02089114473050866,80
Multi-Source,18,Tt,0.43727685832925084,0.047749210062797,-9.278053458063844e-08,6.224680198327446e-08,0.8384342538683002,100
Multi-Source,18,Vec,0.27135529853754875,0.013529258048593151,-1.6668756696319245e-06,1.9549746686917718e-07,0.1621561695802859,100
Multi-Source,18,Xt,0.3808471522646623,0.05698136172358526,1.3797404576957442e-07,1.0703608032584908e-07,0.9031521648990717,100
Multi-Source,20,AV,0.32461187724311685,0.012085426181869266,-9.64677460041488e-07,1.1140002430749975e-07,0.015101867052299477,101
Multi-Source,20,PS,0.09998990322967886,0.0021797329897259164,0.002511614520192218,0.00018293892816726275,0.002744058639671187,101
Multi-Source,20,S,0.46942077828098977,1.218254827667451,2.2599381395505787e-06,0.00010922249945939944,0.3275843313914322,101
Multi-Source,20,Tt,0.35961193908383704,0.028650331807737132,-2.415709245259962e-07,9.196742335167805e-08,1.1867839916794558,101
Multi-Source,20,Vec,0.31612020031603727,0.010979553952360463,-1.1269751636602007e-06,1.1526648761465552e-07,0.029997257123895466,101
Multi-Source,20,Xt,0.3767002038426881,0.02626150975904692,1.8231005634696967e-07,6.468337336067783e-08,0.38659586143224955,101
Multi-Source,23,AV,0.32991272633476576,0.0075367597891186815,-8.471627461246184e-07,5.8352309237767046e-08,0.06454930715942173,98
Multi-Source,23,PS,0.13227178293983502,0.006182259790989514,0.0008434031811146988,0.00010444690295069903,0.01983713488292481,98
Multi-Source,23,S,0.26813928303811574,0.22567560085644645,-1.0666028792573805e-05,5.713179417363535e-05,0.01121481165770273,98
Multi-Source,23,Tt,0.44701329163830533,0.037044459030901186,-7.688468998962593e-08,4.0963580550729044e-08,1.3281154751149529,98
Multi-Source,23,Vec,0.3233619487984917,0.006218741064734235,-9.140505989219485e-07,5.244605578171965e-08,0.18120421857579377,98
Multi-Source,23,Xt,0.4091350077463188,0.02517350691168391,1.1893823764713111e-07,4.228787909676574e-08,2.2248367753059926,98
Multi-Source,30,AV,0.35293783671776036,0.0026119815836887373,-5.760673868115824e-07,1.634566271456847e-08,0.13667212337220008,101
Multi-Source,30,PS,0.20091478188345238,0.021825305255887176,8.212376144204463e-05,2.558978189509133e-05,0.11520504362698256,101
Multi-Source,30,S,0.20077141661887912,0.03321025592211539,-5.7062890723425136e-05,2.44817949181629e-05,0.12273391825424099,101
Multi-Source,30,Tt,0.4029370019741999,0.005235137601348272,-1.4533617083427923e-07,1.0641959372132891e-08,0.48044397564131325,101
Multi-Source,30,Vec,0.35326419262413894,0.002509327965205346,-5.747801436991254e-07,1.5645929429710585e-08,0.12418554403427451,101
Multi-Source,30,Xt,0.40485684177967224,0.005704485489682991,1.3388201578476598e-07,1.0483691112343686e-08,2.3135656395031776,101
